Reference Type,Author of Review,Year,Title of Review,Title of Journal,Volume,Issue,Page Range,Reviewed Author,Reviewed Editor,Reviewed Translator,Reviewed Title,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Book Review,"Bereczki, Gyöngyvér",2008,Review of: A történelem misztériuma,Keresztény szó,19,12,,"Daniélou, Jean",,,A történelem misztériuma,,December,,,,,,20th century,Theology -- History,,"Daniélou, Jean, 1905–1974",,,,,,Hungarian,CULL|REVIEW
Book Review,"Bergin, Joseph",2011,Review of: Empire of Souls: Robert Bellarmine and the Christian Commonwealth,Recusant History,30,4,593–595,"Tutino, Stefania",,,Empire of Souls: Robert Bellarmine and the Christian Commonwealth,,October,0034-1932,,,,,16th century|17th century,Saints and Blessed|Controversies -- Protestantism|Controversies -- Papacy,Europe,"Bellarmino, Roberto Francesco Romolo, Saint, 1542–1621",,,,,,English,CULL|REVIEW
Book Review,"Bergin, Joseph",2013,Review of: On Temporal and Spiritual Authority,Recusant History,31,4,634–636,"Bellarmino, Roberto Francesco Romolo","Tutino, Stefania","Tutino, Stefania",On Temporal and Spiritual Authority,,,0034-1932,,,,,16th century|17th century,Controversies|Papacy|Political Science,Europe,"Bellarmino, Roberto Francesco Romolo, Saint, 1542–1621",,,,,,English,CULL|REVIEW
Book Review,"Bernabéu Albert, Salvador",2004,"Review of: El motín de Esquilache, América y Europa",Hispania (Spain),64,217,759–763,"Andrés-Gallego, José",,,"El motín de Esquilache, América y Europa",,,0018-2141|1988-8368,10.3989/hispania.2004.v64.i217,,http://hispania.revistas.csic.es/index.php/hispania/article/view/193/196,,18th century,Politics|History -- Regional|Foreign Missions -- History -- Regional,Europe -- Spain -- Madrid,,,,,,,Spanish,CULL|REVIEW
Book Review,"Bernardi, Peter J.",2014,Review of: Ressourcement: A Movement for Renewal in Twentieth-Century Catholic Theology,Horizons (USA),41,2,344–348,,"Flynn, Gabriel|Murray, Paul D.",,Ressourcement: A Movement for Renewal in Twentieth-Century Catholic Theology,,,0360-9669|2050-8557,10.1017/hor.2014.73,,https://www.cambridge.org/core/journals/horizons/article/ressourcement-a-movement-for-renewal-in-twentieth-century-catholic-theology-edited-by-gabrielflynn-and-paul-dmurray-new-york-oxford-university-press-2012-xx-583-pages-12500/3D1452DCAFFB676DEFCBF641820F7346,,20th century,Theology -- Movements -- Nouvelle théologie,Europe,"Daniélou, Jean, 1905–1974|de Lubac, Henri, 1896–1991|von Balthasar, Hans Urs, 1905–1988|Teilhard de Chardin, Pierre, 1881–1955",,,,,,English,CULL|REVIEW
Book Review,"Bernauer, James",2015,Review of: European Anti-Catholicism in a Comparative and Transnational Perspective,Journal of Jesuit Studies,2,2,305–306,,"Werner, Yvonne Maria|Harvard, Jonas",,European Anti-Catholicism in a Comparative and Transnational Perspective,,,2214-1324|2214-1332,10.1163/22141332-00202007-02,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00202007-02,,17th century|18th century|19th century|20th century|21st century,History -- Regional -- Anti-Jesuitism|Historiography,Europe|North America -- USA,,,,,,,English,KEEP|REVIEW
Book Review,"Bernhardt, Matthieu",2012,Review of: Matteo Ricci in China: Inculturation through Friendship and Faith,Archivum historicum Societatis Iesu,81,161,378–381,,"Shelke, Christopher|Demichele, Mariella",,Matteo Ricci in China: Inculturation through Friendship and Faith,,,0037-8887,,,,,16th century|17th century,Foreign Missions -- Inculturation,Asia -- China,"Ricci, Matteo, 1552–1610",,,,,,French,CULL|REVIEW
Book Review,"Berriot-Salvadore, Évelyne",2010,"Review of: Le lent brassement des livres, des rites et de la vie: Mélanges offerts à James Dauphiné",Bibliothèque d’humanisme et Renaissance,73,3,716–719,,"Léonard, Monique|Leroux, Xavier|Roudaut, François",,"Le lent brassement des livres, des rites et de la vie: Mélanges offerts à James Dauphiné",,,0006-1999,,,http://www.jstor.org/stable/2576631,,17th century,Writings|History -- Intellectual History -- Humanism,Europe -- France |Europe -- Spain,"Clément, Claude, 1596–1642","I selected this review because of an article by Marie-Madeleine Fragonard, « La gloire et la honte: les portraits aux murs des bibliothèques », p. 747-766.",,,,,French,CULL|REVIEW
Book Review,"Betti, Gian Luigi",2010,"Review of: The University of Mantua, the Gonzaga and the Jesuits, 1584–1630",Bibliothèque d’humanisme et Renaissance,72,2,482–485,"Grendler, Paul F.",,,"The University of Mantua, the Gonzaga and the Jesuits, 1584–1630",,,0006-1999,,,http://www.jstor.org/stable/25766289,,16th century|17th century,Education -- Universities|History -- Local|Politics -- Monarchy,Europe -- Italy -- Mantua,,,,,,,Italian,CULL|REVIEW
Book Review,"Bideaux, Michel",2010,"Review of: The Renaissance in the Streets, Schools, and Studies. Essays in honour of Paul F. Grendler",Bibliothèque d’humanisme et Renaissance,72,1,209–212,,"Eisenbichler, Konrad|Terpstra, Nicholas",,"The Renaissance in the Streets, Schools, and Studies. Essays in honour of Paul F. Grendler",,,0006-1999,,,http://www.jstor.org/stable/20680065,,16th century|17th century,Historiography -- Renaissance|Biography -- Intellectual,Europe -- Italy -- Naples|Europe -- Italy -- Loreto,"Guerrieri, Francesco, 1560–1629|Orlandini, Niccolò, 1553–1606","I selected that review because of the following articles: Mark A. Lewis, S.J., “The Jesuit Institutionalization of the Studia Humanitatis: Two Jesuit Humanists at Naples”, p. 87-100, and Paul V. Murphy, “ ‘Your Indies’: The Jesuit Mission at the Santa Casa di Loreto in the Sixteenth Century”, p. 211-231. When, Where, Who refer to these articles.",,,,,French,CULL|REVIEW
Book Review,"Bideaux, Michel",2012,"Review of: Foundation, Dedication and Consecration in Early Modern Europe",Bibliothèque d’humanisme et Renaissance,74,3,728–731,,"Delbeke, Maarten|Schraven, Minou",,"Foundation, Dedication and Consecration in Early Modern Europe",,,0006-1999,,,http://www.jstor.org/stable/2432910,,16th century,Historiography |History -- Regional -- Social History,Europe -- Italy -- Rome,"Ignatius, of Loyola, Saint, c.1491–1556","Nota SC: I mentioned it because of an article in that book: Alison C. Fleming, “St Ignatius of Loyola’s ‘Vision at La Storta’ and the Foundation of the Society of Jesus”, p. 225-249. When, Where, Who refer to that article.",,,,,French,CULL|REVIEW
Book Review,"Bieber, Judy",2007,Review of: Go-Betweens and the Colonization of Brazil 1500–1600,Luso-Brazilian Review,44,1,177–179,"Metcalf, Alida C.",,,Go-Betweens and the Colonization of Brazil 1500–1600,,,0002-7189,10.1353/lbr.2007.0022,,http://muse.jhu.edu/login?auth=0&type=summary&url=/journals/luso-brazilian_review/v044/44.1bieber.html,,16th century,Foreign Missions -- Colonialism|Foreign Missions -- History -- Regional,South America -- Brazil,,,,,,,English,CULL|REVIEW
Book Review,"Biedermann, Zoltán",2012,Review of: Early Brazil: A Documentary Collection to 1700,History (UK),97,325,134–137,,"Schwartz, Stuart B.",,Early Brazil: A Documentary Collection to 1700,,,0018-2648|1468-229X,10.1111/j.1468-229X.2011.00543_12.x,,http://onlinelibrary.wiley.com/doi/10.1111/j.1468-229X.2011.00543_12.x/abstract;jsessionid=9F2A6270E0C1CD1B77DB9C361308F071.f03t04,,16th century,Foreign Missions,South America -- Brazil,,,,,,,English,CULL|REVIEW
Book Review,"Biesaga, Tadeusz",2003,Review of: Zarys etyki ogólnej,Forum philosophicum,8,,286–288,"Ślipko, Tadeusz",,,Zarys etyki ogólnej,,November,1426-1898,10.5840/forphil2003833,,https://www.pdcnet.org/forphil/content/forphil_2003_0008_0286_0288,,20th century,Philosophy -- Ethics,,"Ślipko, Tadeusz, 1918–2015",,,,,Outline of General Ethics,English,CULL|REVIEW
Book Review,"Bilić, Niko",2006,Review of: Ignacije Lojolski osniva Družbu Isusovu,Obnovljeni život,61,4,521–523,"Ravier, André",,,Ignacije Lojolski osniva Družbu Isusovu,,December,0351-3947,,,http://hrcak.srce.hr/index.php?show=clanak&id_clanak_jezik=8987,,16th century,Ignatius of Loyola -- Biography|History -- General |First Jesuits |Institute,Europe,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Croatian,CULL|REVIEW
Book Review,"Bilinkoff, Jodi",2017,Review of: Forging the Past: Invented Histories in Counter-Reformation Spain,Journal of Jesuit Studies,4,1,128–130,"Olds, Katrina B.",,,Forging the Past: Invented Histories in Counter-Reformation Spain,,,2214-1332|2214-1324,10.1163/22141332-00401005-09,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00401005-09,,16th century|17th century,History -- Regional|Historiography -- Controversies,Europe -- Spain,"Higuera, Jerónimo Román de la, 1538–1611",,,,,,English,KEEP|REVIEW
Book Review,"Binns, James W.",2005,Review of: Loyola's Bees: Ideology and Industry in Jesuit Latin Didactic Poetry,Modern Language Review,100,1,188–189,"Haskell, Yasmin Annabel",,,Loyola's Bees: Ideology and Industry in Jesuit Latin Didactic Poetry,,January,0026-7937|2222-4319,,,http://www.jstor.org/stable/3738065,,16th century|17th century|18th century,Literature -- Poetry|Literature -- History,,,,,,,,English,KEEP|REVIEW
Book Review,"Binzley, Ronald A.",2015,"Review of: Papist Devils: Catholics in British America, 1574–1783",Journal of Jesuit Studies,2,2,346–348,"Curran, Robert Emmett",,,"Papist Devils: Catholics in British America, 1574–1783",,,2214-1324|2214-1332,10.1163/22141332-00202007-16,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00202007-16,,17th century|18th century,Foreign Missions -- History -- Regional|Foreign Missions -- Anti-Jesuitism|Foreign Missions -- Politics,North America -- USA|North America -- Caribbean,"White, Andrew, 1579–1656",,,,,,English,KEEP|REVIEW
Book Review,"Binzley, Ronald A.",2017,Review of: How the Jesuits Survived Their Suppression: The Society of Jesus in the Russian Empire (1773–1814),Journal of Jesuit Studies,4,3,489–491,"Inglot, Marek",,,How the Jesuits Survived Their Suppression: The Society of Jesus in the Russian Empire (1773–1814),,,2214-1324|2214-1332,10.1163/22141332-00403007,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00403007,,18th century|19th century,History -- General -- Suppression|History -- Regional -- Survival,Europe -- Russia|Asia -- Russia,,,,,,,English,KEEP|REVIEW
Book Review,"Bireley, Robert",2007,Review of: The Jesuits and the Monarchy: Catholic Reform and Political Authority in France (1590–1615),The Historian,69,3,591–592,"Nelson, Eric",,,The Jesuits and the Monarchy: Catholic Reform and Political Authority in France (1590–1615),,Fall,1540-6563,10.1111/j.1540-6563.2007.00189_60.x,,http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6563.2007.00189_60.x/abstract,,16th century|17th century,History -- Politics -- Monarchy|History -- Regional,Europe -- France,,,,,,,English,KEEP|REVIEW
Book Review,"Bireley, Robert",2010,Review of: The Cambridge Companion to the Jesuits,Archivum historicum Societatis Iesu,79,157,204–208,,"Worcester, Thomas",,The Cambridge Companion to the Jesuits,,January–June,0037-8887,,,,,16th century|17th century|18th century|19th century|20th century|21st century,History -- General|Historiography,Europe -- France|Europe -- Spain|Europe -- Italy|Europe -- UK|Europe -- Poland|Asia -- Japan|North America -- Canada|North America -- USA|South America,"Ignatius, of Loyola, Saint, c.1491–1556|Francis Xavier, Saint, 1506–1552|Valignano, Alessandro, 1538–1606|Sobrino, Jon, 1938–|Ellacuría, Ignacio, 1930–1989|Lonergan, Bernard J. F., 1904–1984|Rahner, Karl, 1904–1984|Arrupe, Pedro, 1907–1991|Kolvenbach, Peter-Hans, 1928–2016|Mveng, Engelbert, 1930–1995",,,,,,English,KEEP|REVIEW
Book Review,"Bireley, Robert",2013,"Review of: The Society of Jesus in Ireland, Scotland, and England, 1589–1597: Building the Faith of Saint Peter upon the King of Spain’s Monarchy",Renaissance Quarterly,66,2,671–672,"McCoog, Thomas M.",,,"The Society of Jesus in Ireland, Scotland, and England, 1589–1597: Building the Faith of Saint Peter upon the King of Spain’s Monarchy",,,0034-4338,10.1086/671644,,http://www.jstor.org/stable/10.1086/671644,,16th century,History -- Regional|Controversies -- Anglicanism,Europe -- UK -- England|Europe -- UK -- Scotland|Europe -- Ireland,,,,,,,English,CULL|REVIEW
Book Review,"Bireley, Robert",2017,Review of: Voices of Conscience: Royal Confessors and Political Counsel in Seventeenth-Century Spain and France,Journal of Jesuit Studies,4,3,526–528,"Reinhardt, Nicole",,,Voices of Conscience: Royal Confessors and Political Counsel in Seventeenth-Century Spain and France,,,2214-1324|2214-1332,10.1163/22141332-00403007-13,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00403007-13,,17th century,Ministries -- Confession|Politics -- Court Life|History -- Regional,Europe -- Spain|Europe -- France,"Bellarmino, Roberto Francesco Romolo, Saint, 1542–1621",,,,,,English,KEEP|REVIEW
Book Review,"Bireley, Robert",2017,"Review of: The European Wars of Religion: An Interdisciplinary Reassessment of Sources, Interpretations, and Myths",Journal of Jesuit Studies,4,1,116–118,,"Palaver, Wolfgang|Rudolph, Harriet|Regensburger, Dietmar",,"The European Wars of Religion: An Interdisciplinary Reassessment of Sources, Interpretations, and Myths",,,2214-1332|2214-1324,10.1163/22141332-00401005-05,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00401005-05,,16th century|17th century,History -- General|Politics -- War|History -- Church History|Historiography -- Sources,Europe,,,,,,,English,KEEP|REVIEW
Book Review,"Birmelé, André",2008,Review of: Yves de Montcheuil (1900–1944): Précurseur en théologie,Revue d'histoire et de philosophie religieuses,88,1,107–108,"Sesboüé, Bernard",,,Yves de Montcheuil (1900–1944): Précurseur en théologie,,,0035-2403,,,http://www.rhpr.net/art/2008_1.html,,20th century,Theology -- Biography,,"Montcheuil, Yves de, 1900–1944",,,,,,French,CULL|REVIEW
Book Review,"Birmelé, André",2009,"Review of: Karl Barth, Présentation et interprétation de sa théologie",Revue d'histoire et de philosophie religieuses,89,2,203,"Balthasar, Hans Urs von",,"Iborra, Éric","Karl Barth, Présentation et interprétation de sa théologie",,,0035-2403,,,http://www.rhpr.net/art/2009_2.html,,20th century,Theology|Protestantism,,"von Balthasar, Hans Urs, 1905–1988",,,,,,French,CULL|REVIEW
Book Review,"Birmelé, André",2009,Review of: La foi chrétienne: Essai sur la structure du symbole des apôtres AND Carnets du Concile AND Entretien autour de Vatican II,Revue d'histoire et de philosophie religieuses,89,2,204–205,Henri de Lubac,,,La foi chrétienne: Essai sur la structure du symbole des apôtres|Carnets du Concile|Entretien autour de Vatican II,,,0035-2403,,,http://www.rhpr.net/art/2009_2.html,,20th century,Theology -- Scripture -- Exegesis|Theology -- Systematic,Europe -- Italy -- Rome,"de Lubac, Henri, 1896–1991",,,,,,French,CULL|REVIEW|BRMULT
Book Review,"Birmelé, André",2010,Review of: Einheit der Kirche durch Einigung der Kirchen? Karl Rahners Beitrag zu einer aktuellen Fragestellung,Revue d'histoire et de philosophie religieuses,90,2,261–262,"Kohmann, Markus",,,Einheit der Kirche durch Einigung der Kirchen? Karl Rahners Beitrag zu einer aktuellen Fragestellung,,,0035-2403,,,http://www.rhpr.net/art/2010_2.html,,20th century,Theology -- Ecclesiology|Interreligious Dialogue,,"Rahner, Karl, 1904–1984",,,,,,French,CULL|REVIEW
Book Review,"Birmelé, André",2010,Review of: Einführung in die Fundamentaltheologie,Revue d'histoire et de philosophie religieuses,90,2,253,"Verweyen, Hansjürgen",,,Einführung in die Fundamentaltheologie,,,0035-2403,,,http://www.rhpr.net/art/2010_2.html,,20th century,Theology -- Fundamental,,"Rahner, Karl, 1904–1984|von Balthasar, Hans Urs, 1905–1988",,,,,,French,CULL|REVIEW
Book Review,"Biskup, Thomas",2010,Review of: Der Untergang der Gesellschaft Jesu als europäisches Medienereignis: Publizistische Debatten im Spannungsfeld von Aufklärung und Gegenaufklärung,Journal of Ecclesiastical History,61,1,200–201,"Vogel, Christine",,,Der Untergang der Gesellschaft Jesu als europäisches Medienereignis: Publizistische Debatten im Spannungsfeld von Aufklärung und Gegenaufklärung,,January,0022-0469|1469-7637,10.1017/S0022046909992570,,http://journals.cambridge.org/article_S0022046909992570,,16th century|17th century|18th century,History -- Regional -- Suppression|Polemics -- Anti-Jesuitism,Europe -- Portugal,,,,,,,English,CULL|REVIEW
Book Review,"Blanco Sarto, Pablo",2009,Review of: Karl Rahner y Joseph Ratzinger: Tras las huellas del Concilio,Anuario de historia de la Iglesia,,18,500–501,"Madrigal, Santiago",,,Karl Rahner y Joseph Ratzinger: Tras las huellas del Concilio,,,1133-0104,,,http://www.redalyc.org/articulo.oa?id=35512039093,,20th century,Theology |Councils -- Vatican II|Biography -- Intellectual,,"Rahner, Karl, 1904–1984",,,,,,Spanish,CULL|REVIEW
Book Review,"Block, David",2010,Review of: Cristóbal de Acuña: Nuevo descubrimiento del gran río de las Amazonas,Hispanic American Historical Review,90,2,322–323,,"Arellano, Ignacio|Borque, José M. Díez|Santonja, Gonzalo",,Cristóbal de Acuña: Nuevo descubrimiento del gran río de las Amazonas,,May,0018-2168,10.1215/00182168-2009-138,,http://hahr.dukejournals.org/content/90/2/321.full,,17th century,Foreign Missions -- Travel -- Discoveries,South America -- Brazil,,,,,,,English,CULL|REVIEW
Book Review,"Bočková, Alena",2007,Review of: Jezuité a Klementinum,Listy filologické,130,2-Jan,188–194,"Čornejová, Ivana|Richterová, Alena",,,Jezuité a Klementinum,,,0024-4457,10.2307/23468511,,http://www.jstor.org/stable/23468511,,16th century|17th century|18th century|19th century|20th century|21st century,Education -- Colleges -- History -- Local|Prosopography,Europe -- Czech Republic,,,,,,,Czech,CULL|REVIEW
Book Review,"Bočková, Alena",2012,Prima parte delle Consuetudines Assistentiae Germaniae dell’Ordine gesuita,Bollettino dell’Istituto Storico Ceco di Roma,8,,138–139,,"Valentová, Kateřina",,"Consuetudines Assistentia Germaniae, vol. 1",,,1214-9438,,,http://www.hiu.cas.cz/cs/download/bolletino-roma/bollettino-8-2012.pdf,,16th century|17th century,Historiography -- Primary Sources |History -- Regional,Europe -- Czech Republic|Europe -- Germany,,,,,,,Italian,CULL|REVIEW
Book Review,"Bodenstein, Wulf",2005,"Review of: François de Dainville, S.J. (1909–1971): Pionnier de l'histoire de la cartographie et de l'éducation",Brussels International Map Collectors' Circle Newsletter,,22,10,,"Bousquet-Bressolier, Catherine",,"François de Dainville, S.J. (1909–1971): Pionnier de l'histoire de la cartographie et de l'éducation",,May,1379-3306,,,http://www.bimcc.org/newsletters/22,,16th century|17th century|18th century|19th century,Historiography -- History of Education|Sciences -- Geography -- Cartography,Europe -- France,"Dainville, François de, 1909–1971",,,,,,English,CULL|REVIEW
Book Review,"Boersma, Hans",2009,Henri de Lubac: A Return to Mystery,Reviews in Religion and Theology,16,4,567–572,Bryan C. Hollon|David Grumett|Rudolf Voderholzer,,,Everything Is Sacred: Spiritual Exegesis in the Political Theology of Henri de Lubac|De Lubac: A Guide for the Perplexed|Meet Henri de Lubac: His Life and Work,567,September,1467-9418,10.1111/j.1467-9418.2009.00441_1.x,,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-9418.2009.00441_1.x/abstract,,20th century,Theology -- Scripture -- Exegesis|Theology -- Method,,"de Lubac, Henri, 1896–1991","This article engages with three books which could serve as introductions to thought of Henry de Lubac. They show that his thought is not of merely historical interest. On the contrary, de Lubac’s reintegration of the natural and the supernatural in the face of the strict separation promoted by some neo-Thomisms presents a strong case for a return to the mystical theologies of the church fathers. Such a theology relies on a participatory ontology to militate against understandings of nature as independent or separated from the supernatural and provides deep resources for the current interest in theological understandings of mystery.",,,,,English,CULL|REVIEW|BRMULT
Book Review,"Boersma, Hans",2012,"Review of: Nouvelle Théologie–New Theology: Inheritor of Modernism, Precursor of Vatican II",International Journal of Systematic Theology,14,4,487–489,"Mettepenningen, Jürgen",,,"Nouvelle Théologie–New Theology: Inheritor of Modernism, Precursor of Vatican II",,October,1468-2400,10.1111/j.1468-2400.2010.00551.x,,http://onlinelibrary.wiley.com/doi/10.1111/j.1468-2400.2010.00551.x/abstract,,20th century,Theology|History -- Councils -- Vatican II,,"Daniélou, Jean, 1905–1974|de Lubac, Henri, 1896–1991|Rahner, Karl, 1904–1984|von Balthasar, Hans Urs, 1905–1988",,,,,,English,CULL|REVIEW
Book Review,"Boisset, Louis",2012,Review of: L'autobiographie d'Athanasius Kircher. L'écriture d'un jésuite entre vérité et invention au seuil de l'oeuvre,Archivum historicum Societatis Iesu,81,161,424–426,,"Totaro, Giunia",,L'autobiographie d'Athanasius Kircher. L'écriture d'un jésuite entre vérité et invention au seuil de l'oeuvre,,,0037-8887,,,,,17th century,Sciences|Biography,Europe -- Germany,"Kircher, Athanasius, 1602–1680",,,,,,Italian,CULL|REVIEW
Book Review,"Bölling, Jörg",2010,Review of: De Rosweyde aux Acta sanctorum: La recherche hagiographique des Bollandistes à travers quatre siècles,Historische Zeitschrift,291,2,466–468,,"Godding, Robert|Joassart, Bernard|Lequeux, Xavier|et al.",,De Rosweyde aux Acta sanctorum: La recherche hagiographique des Bollandistes à travers quatre siècles,,October,0018-2613,,,https://www.degruyter.com/dg/viewjournalissue.articlelist.resultlinks.fullcontentlink:pdfeventlink/$002fj$002fhzhz.2010.291.issue-2$002fhzhz.2010.0048$002fhzhz.2010.0048.pdf?t:ac=j$002fhzhz.2010.291.issue-2$002fhzhz.2010.291.issue-2$002fhzhz.2010.291.issue-2.xml,,17th century|18th century|19th century|20th century,Bollandists -- Historiography|Biography -- Hagiography,Europe -- Belgium -- Brussels|Europe -- Italy -- Rome,"Rosweyde, Heribert, 1569–1629|Bolland, Jean, 1596–1665",,,,,,German,CULL|REVIEW
Book Review,"Boniface, Xavier",2013,"Review of: Le monde amérindien au miroir des ""Lettres édifiantes et curieuses",Revue d'histoire de l'èglise de France,95,1,139–140,"Paschoud, Adrien",,,"Le monde amérindien au miroir des ""Lettres édifiantes et curieuses",,,0048-7988,10.1484/J.RHEF.3.12,,http://www.brepolsonline.net/doi/pdf/10.1484/J.RHEF.3.12,,18th century,Foreign Missions -- Writings|Foreign Missions -- Primary Sources,North America|South America,,,,,,,French,CULL|REVIEW
Book Review,"Bonora, Elena",2013,Review of: The Italian Inquisition,European History Quarterly,43,3,525–527,"Black, Christopher F.",,,The Italian Inquisition,,July,0265-6914,10.1177/0265691413493729d,,http://ehq.sagepub.com/content/43/3/525.full.pdf+html,,16th century|17th century|18th century|19th century,Inquisition,Europe -- Italy,,,,,,,English,CULL|REVIEW
Book Review,"Bosco, Mark",2006,"Review of: The Catholic Revival in English Literature, 1845–1961",Comparative Literature Studies,43,1–2,200–202,"Ker, Ian",,,"The Catholic Revival in English Literature, 1845–1961",,,1528-4212,10.1353/cls.2006.0026,,http://muse.jhu.edu/journals/comparative_literature_studies/v043/43.1bosco.html,,19th century,Literature -- History -- Regional,Europe -- UK -- England,"Hopkins, Gerard Manley, 1844–1889",,,,,,English,CULL|REVIEW
Book Review,"Bouquet, Jacques",2013,"Review of: Juifs et chrétiens à travers l’histoire, entre conflits et filiations",Revue d'histoire de l'èglise de France,99,2,369–370,,"Béthouart, Bruno|Kirschleger, Pierre-Yves",,"Juifs et chrétiens à travers l’histoire, entre conflits et filiations",,,0048-7988,10.1484/J.RHEF.1.103699,,http://www.brepolsonline.net/doi/abs/10.1484/J.RHEF.1.103699,,20th century,Controversies -- Hebraism,,"de Lubac, Henri, 1896–1991",,,,,,French,CULL|REVIEW
Book Review,"Bourgine, Benoît",2006,"Review of: Balthasar, Rahner: Deux pensées en contraste",Revue théologique de Louvain,37,3,431–432,,"Gagey, Henri-Jérôme|Holzer, Vincent",,"Balthasar, Rahner: Deux pensées en contraste",,,0080-2654|1783-8401,10.2143/RTL.37.3.2018935,,http://poj.peeters-leuven.be/content.php?url=article&id=2018935&journal_code=RTL,,20th century,Theology|Biography -- Intellectual,,"von Balthasar, Hans Urs, 1905–1988|Rahner, Karl, 1904–1984",,,,,,French,CULL|REVIEW
Book Review,"Bourgine, Benoît",2007,Review of: Yves de Montcheuil (1900–1944): Précurseur en théologie,Revue théologique de Louvain,38,2,269–270,"Sesboüé, Bernard",,,Yves de Montcheuil (1900–1944): Précurseur en théologie,,,0080-2654|1783-8401,10.2143/RTL.38.2.2020841,,http://poj.peeters-leuven.be/content.php?url=article&id=2020841&journal_code=RTL,,20th century,Theology -- Biography,,"Montcheuil, Yves de, 1900–1944",,,,,,French,CULL|REVIEW
Book Review,"Bourgine, Benoît",2008,"Review of: Dieu qui vient à l’homme, vol. II, De l’apparition à la naissance de Dieu, part 2, Naissance",Revue théologique de Louvain,39,1,85–89,"Moingt, Joseph",,,"Dieu qui vient à l’homme, vol. II, De l’apparition à la naissance de Dieu, part 2, Naissance",,,0080-2654|1783-8401,10.2143/RTL.39.1.2028229,,http://poj.peeters-leuven.be/content.php?url=article&id=2028229&journal_code=RTL,,21st century,Theology -- Christology,,"Moingt, Joseph, 1915–",,,,,,French,CULL|REVIEW
Book Review,"Bourgine, Benoît",2008,Review of: La théologie au XXe siècle et l’avenir de la foi: Entretiens avec Marc Leboucher,Revue théologique de Louvain,39,3,428–429,"Sesboüé, Bernard",,,La théologie au XXe siècle et l’avenir de la foi: Entretiens avec Marc Leboucher,,,0080-2654|1783-8401,10.2143/RTL.39.3.2033114,,http://poj.peeters-leuven.be/content.php?url=article&id=2033114&journal_code=RTL,,20th century,Theology |Biography -- Intellectual,,"von Balthasar, Hans Urs, 1905–1988|de Lubac, Henri, 1896–1991|Bouillard, Henri, 1908–1981|Rahner, Karl, 1904–1984|Daniélou, Jean, 1905–1974|Moingt, Joseph, 1915–",,,,,,French,CULL|REVIEW
Book Review,"Bourgine, Benoît",2008,"Review of: Pierre Teilhard de Chardin: Sa vie, son œuvre, sa réflexion",Revue théologique de Louvain,39,4,563–564,"Boudignon, Patrice",,,"Pierre Teilhard de Chardin: Sa vie, son œuvre, sa réflexion",,,0080-2654|1783-8401,10.2143/RTL.39.4.2033445,,http://poj.peeters-leuven.be/content.php?url=article&id=2033445&journal_code=RTL,,20th century,Biography|Sciences -- Paleontology|Sciences -- Evolutionism|Theology -- Cosmology,,"Teilhard de Chardin, Pierre, 1881–1955",,,,,,French,CULL|REVIEW
Book Review,"Bourgine, Benoît",2008,Review of: Petite vie de Pierre Teilhard de Chardin,Revue théologique de Louvain,39,4,564,"Sesé, Bernard",,,Petite vie de Pierre Teilhard de Chardin,,,0080-2654|1783-8401,10.2143/RTL.39.4.2033445,,http://poj.peeters-leuven.be/content.php?url=article&id=2033445&journal_code=RTL,,20th century,Biography|Sciences -- Paleontology|Sciences -- Evolutionism|Theology -- Cosmology,,"Teilhard de Chardin, Pierre, 1881–1955",,,,,,French,CULL|REVIEW
Book Review,"Bourgine, Benoît",2008,Review of: Le chiffre trinitaire de la vérité chez Hans Urs von Balthasar: La Trinité comme principe d’intelligibilité de l’articulation de la philosophie et de la théologie dans La théologique,Revue théologique de Louvain,39,1,106–107,"Ponnou-Delaffon, André-Marie",,,Le chiffre trinitaire de la vérité chez Hans Urs von Balthasar: La Trinité comme principe d’intelligibilité de l’articulation de la philosophie et de la théologie dans La théologique,,,0080-2654|1783-8401,10.2143/RTL.39.1.2028230,,http://poj.peeters-leuven.be/content.php?url=article&id=2028230&journal_code=RTL,,20th century,Theology -- Trinity|Philosophy|Theology -- Method,,"von Balthasar, Hans Urs, 1905–1988",,,,,,French,CULL|REVIEW
Book Review,"Bourgine, Benoît",2009,Review of: Foundations of Systematic Theology,Revue théologique de Louvain,40,2,271,"Guarino, Thomas G.",,,Foundations of Systematic Theology,,,0080-2654|1783-8401,10.2143/RTL.40.2.2036271,,http://poj.peeters-leuven.be/content.php?url=article&id=2036271&journal_code=RTL,,20th century,Theology -- Systematic,,"Rahner, Karl, 1904–1984|von Balthasar, Hans Urs, 1905–1988|Lonergan, Bernard J. F., 1904–1984",,,,,,French,CULL|REVIEW
