Reference Type,Author,Year,Title,Place Published,University,Number of Pages,Thesis Type,ISBN,WorldCat URL,University URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Language,Editing Tags
Dissertation,"Barthet, Bernard",2014,Les thématiques ésotériques et les savoirs scientifiques et historiques dans les publications des jésuites en France dans les 'Mémoires de Trévoux' (1680–1764): Problématiques et enjeux,Paris,École pratique des hautes études,,PhD diss.,,,,,17th century|18th century,Cultural Activities -- Journals|History -- Regional|Writings -- Apologetics,Europe -- France,,"L'objet de cette thèse est de rechercher des thématiques ésotériques dans la stratégie des jésuites pour accomplir, dans le contexte mouvementé de la France au tournant du XVIIIe siècle, leur mission pastorale de défense de la tradition catholique définie au Concile de Trente. Nous montrons que les pères jésuites s'appuient sur les productions littéraires de leurs écrivains profesionnels (scriptores liborum) et sur l'outil journalistique des ""Mémoiresé et du ""Dictionnaire universel"" de Trévoux pour concrétiser leur projet pédagogique d'investir les savoirs scientifiques et historique, afin de répondre aux difficultés rencontrées aves les propositions philosophiques nouvelles. Les jésuites s'attachent à définir plusieurs notions traitées par la physique (l'attraction, la matière, etc.), tout comme ils tentent de préciser la fonction des fables, de la mythologie antique et de justifier la grande ancienneté de la chronologie biblique face à la découverte des annales chinoises. en même temps, les pères abordent plusieurs questions fondées sur la notion de secret (pierre philosophale, cure magnétique, poudre de sympathie, baguette divinatoire, kabbale, prophéties, oracles, emblèmes, énigmes, etc.) qui, à ce titre, se rattachent aux thématiques ésotériques. S'il s'agit pour eux de susciter un débat propice au déploiement d'un discours rhétorique, plutôt que d'affronter directement les arguements adverses, ces derniers s'efforcent de récupérer telle ou telle thématique au gré des opportunités dans le but de l'utiliser pour justifier leurs propres idées, ce qui cache mal leur difficulté à bâtir une doctrine globale cohérente. Une stratégie ambigüe dont l'enjeu est double. D'une part, il est nécessaire d'apporter des réponses aux attaques protestantes qui cherchent à ruiner la crédibilité tant des Pères de l'Eglise que du dogme trinitaire et, partant, menacent lza tradition catholique. D'autre part, les jésuites doivent préserver les mystère cachés d'une nature créee par Dieu, au risque de soutenir des positions scientifiques obsolètes.||The object of this thesis is to look for the place of the esoteric themes in the strategy of Jesuits to carry out, in the animated context of the France in the turn of the XVIIIth century, their pastoral mission of defence of the catholic tradition, determinated at the council of Trent. We show that the Jesuit fathers lean on the literary productions of their professionnal writers (scriptores librorum) and th journalistic tool of the ""Mémoires"" and the ""Dictionnaire universel"" de Trévoux, to concretize their pedagogical project to invest the scientific and historical knowledges, to reply to the met difficulties coming up against the new philosophical propositions. The Jesuits attempt to define several notions discussed by the physics (attraction, matter, etc.), quite as they try o specify the function of the fables of the antique mythology and to prove the great antiquity of the biblical chronology facing the discovery of the chinese annals. At the same time, the fathers approach several questions based on the notion of secret (philosopher's stone, magnetic cure, powder with sympathy, divinatory baguette, cabala, propheties, oracles, emblems, enigmae), which as such are connected with the esoteric themes. On the one hand, it is necessary to answer to the Protestant criticisms who try to ruin the cridibility of the Fathers of the Church as Trinitarian Dogma, and, consequently, to threaten the catholic tradition. On the other hand, the Jesuits have to protect the hidden mysteries of a nature created by God, at the risk of support obsolete scientifical positions.","|Advisor:  Brach, Jean-Pierre",,French,CULL|REVIEW
Dissertation,"Bashara, Charles Gregory Nicholas",2006,"'This Holy Friendship': The Marian Assemblée of Toulouse and the Jesuit Formation of Clergy in Early Modern France, 1658–1762","Washington, DC",Catholic University of America,"xvi, 507",PhD diss.,,http://worldcat.org/oclc/84651502,,,17th century|18th century,History -- Regional -- Social History|Institute -- Formation|Spirituality -- Congregations,Europe -- France -- Toulouse,,,Some texts in French.|Academic Department:  Theology,,English,KEEP|REVIEW
Dissertation,"Bastos, Jennifer",2006,"Unequal Opportunity? College Accessibility for Low-Income Students Attending Private, Jesuit Institutions","Washington, DC",Georgetown University,"v, 93",MA thesis,,http://worldcat.org/oclc/70810691,,,21st century,Education -- Colleges -- Students -- Accessibility|Education -- Colleges -- Identity,North America -- USA,,,,,English,KEEP|REVIEW
Dissertation,"Bayly, Holly",2015,Poet of the Gothic Decorated Style: Medieval Aesthetic and the Image-Text Poetry of Gerard Manley Hopkins,,Eastern New Mexico University,"vi, 50",MA thesis,,http://worldcat.org/oclc/931304104,,,19th century,Literature -- Poetry|Arts -- Images|Literature -- Literary Criticism|Arts -- Aesthetics,Europe -- UK -- England,"Hopkins, Gerard Manley, 1844–1889",,,,English,CULL|REVIEW
Dissertation,"Bayne, Brandon L.",2012,"A Passionate Pacification: Sacrifice and Suffering in the Jesuit Missions of Northwestern New Spain, 1594–1767","Cambridge, MA",Harvard University,,ThD diss.,,http://www.worldcat.org/oclc/801675362,,,16th century|17th century|18th century,Foreign Missions -- Martyrdom,North America -- Mexico,,"This dissertation tracks Jesuit discourse about suffering in the missions of Northern New Spain [Mexico] from the arrival of the first missionaries in the 16th century until their expulsion in the 18th. The project asks why tales of persecution became so prevalent in these borderland contexts and describes how missionaries sanctified their own sacrifices as well as native suffering through martyrological idioms. It argues that in both corporeal and textual forms, missionaries put their passions to use in the pacification of the northern frontier of Mexico. It also correlates colonial martyrologies to longer traditions of redemptive death in the history of Christianity. The belief that sacrifice begets growth reaches back to the biblical writers and church fathers like Jerome and Tertullian...",,,English,KEEP|REVIEW
Dissertation,"Beaton, Rhodora E.",2009,The Sacramentality of the Word: Contributions of Karl Rahner and Louis-Marie Chauvet to a Roman Catholic Theology of the Word,"South Bend, IN",University of Notre Dame,,PhD diss.,,,http://etd.nd.edu/ETD-db/theses/available/etd-07232009-135934/,,20th century,Theology -- Sacraments|Theology -- Councils -- Vatican II|Theology -- Soteriology|Protestantism,,"Rahner, Karl, 1904–1984","The twentieth century witnessed a renewed interest in the development of a Roman Catholic theology of the word. The beginning of this renewal is marked by the work of Karl Rahner who, before the Second Vatican Council, decried the fact that Roman Catholicism, in contrast to the Protestant theological tradition, lacked an adequate theology of the word. Relying on a Roman Catholic theology of grace, Rahner's work, along with that of sacramental theologian Louis-Marie Chauvet, demonstrates the Roman Catholic conviction that the word is fundamentally sacramental: it has the capacity to bear God's presence to humanity.|This dissertation examines the contributions of Rahner and Chauvet, contextualizing them within the larger Christian tradition, and identifying ways in which their contributions advanced a Roman Catholic theology of the word. To that end, the first chapter describes the twentieth-century context. The second chapter treats classical sacramental theology: the work of Augustine and Thomas Aquinas. Here words are identified as types of signs, and similarities between classical approaches to God's revelation found in scripture and in the sacraments are demonstrated. The third chapter considers the work of Reformation theologians Martin Luther and John Calvin. These figures emphasize that the scriptural word is also the sacramental word of promise; they grapple with the necessity of material elements to mediate God's grace in a fallen world. The fourth chapter examines Rahner's efforts to demonstrate the relationship between word and sacrament by contextualizing them within an understanding of an already graced world in which language is the privileged place of the self-expression of God. The fifth chapter examines Chauvet's work, focusing on the sacramentality of language, culture, and creation, yet emphasizing the radical absence of the body of the Risen Christ. Christians are formed by the word into the body of Christ through participation in liturgy and maintenance of a sacramental world. The conclusion compares these approaches, and analyzes their implications for Trinitarian theology, sacramentality, and the understanding of the relationship between word and sacrament. It suggests that the principle of sacramentality is a necessary consideration for Roman Catholic theologies of the word.","|Academic Department:  Theology|Advisor:  Hilkert, Mary Catherine",,English,KEEP|REVIEW
Dissertation,"Beckmann, Matthew",2009,Following Franciscan Soteriology into a Contemporary Theological Reflection,"St. Bonaventure, NY",St. Bonaventure University,"ii, 108",MA thesis,,http://worldcat.org/oclc/502992645,,,20th century,Theology -- Soteriology|Theology -- Sources,,"Teilhard de Chardin, Pierre, 1881–1955",This work attempts to provide a contemporary expression of soteriology drawing upon the Franciscan theological school.,"|Academic Department:  Theology|Advisor:  Lane, Frank P.",,English,CULL|REVIEW
Dissertation,"Beczek, Mariusz",2010,The Role of Obedience in von Balthasar's Theological Aesthetics and Theo-drama and the Critique of His Treatment of Obedience in Light of Royce's Philosophy of Loyalty,"Santa Clara, CA",Jesuit School of Theology of Santa Clara University,"ii, 186",STD diss.,,http://worldcat.org/oclc/729271619,,,20th century,Theology -- Moral|Theology -- Fundamental|Theology -- Theodicy,,"von Balthasar, Hans Urs, 1905–1988",,,,English,CULL|REVIEW
Dissertation,"Bellafiore, I. Michael",2007,Representation and Reconciliation: Hans Urs von Balthasar's Theological Interpretation of Shakespeare in the Light of the Theo-Drama,"Washington, DC",Catholic University of America,"vi, 192",STL thesis,,http://worldcat.org/oclc/314176026,,,20th century,Theology -- Literature|Theology -- Aesthetics,,"von Balthasar, Hans Urs, 1905–1988",,,,English,CULL|REVIEW
Dissertation,"Benders, Alison Mearns",2006,A Comparative Study of Self-Awareness and Self-Transcendence: What Do Lonergan and Sankara Have to Say to Each Other?,"Chestnut Hill, MA",Boston College,"ii, 218",PhD diss.,,http://worldcat.org/oclc/236170313,,,,Theology -- Anthropology|Philosophy -- Theory of Knowledge|Spirituality|Hinduism,,"Lonergan, Bernard J. F., 1904–1984",,|Academic Department:  Theology,,English,CULL|REVIEW
Dissertation,"Benedict, Mark Russell",2010,The Ministry of Passion and Meditation: Robert Southwell's Marie Magdalens Funeral Teares and the Adaptation of Continental Influences,Atlanta,Georgia State University,,MA thesis,,,http://scholarworks.gsu.edu/english_theses/79/,,16th century,Literature -- Poetry|Literature -- Criticism|Spirituality -- Meditation -- Method,Europe -- UK -- England,"Southwell, Robert, Saint, c.1561–1595|Ignatius, of Loyola, Saint, c.1491–1556","In his most popular prose work, Mary Magdalens Funeral Teares (1591), English Jesuit Robert Southwell adapts the Mary Magdalene tradition by incorporating the meditative practices of St. Ignatius Loyola coupled with the Petrarchan language of poetry. Thus, he creates a prose work that ministered to Catholic souls, appealed to Protestant audiences, and initiated the literature of tears in England. Southwell readapts the traditional image of Mary Magdalene for a Catholic Early Modern audience by utilizing the techniques of Jesuit meditation, which later flourished in the weeper texts of Richard Crashaw and George Herbert. His vividly imagined scenes also employ the Petrarchan and Ovidian language of longing and absence and coincide with both traditional and mystic early church writers such as Bernard and Augustine. Through this combination, Southwell’s Marie Magdalens Funeral Teares resonated with Catholics deprived of both ministry and the presence of Christ in the Eucharist. These contributions solidify Southwell’s place as a pivotal figure in the religious and literary contexts of Early Modern England.","|Academic Department:  English|Advisor:  Erickson, Wayne",,English,KEEP|REVIEW
Dissertation,"Bernabé, Renata Cabral",2012,A construção da missão japonesa no século XVI,,University of São Paulo,,PhD diss.,,,http://www.teses.usp.br/teses/disponiveis/8/8138/tde-15052013-091839/,,16th century,Foreign Missions -- Accommodation,Asia -- Japan,"Cabral, Francisco, 1528–1609|Valignano, Alessandro, 1538–1606","Em 1549, os primeiros missionários cristãos chegaram ao arquipélago japonês a fim de evangelizar a população nativa. Chegaram poucos anos após os comerciantes portugueses, mas não ficaram sob sua proteção. Ao contrário destes, não ficaram apenas nas cidades portuárias, mas adentraram-se no território japonês que passava por um século de sangrentas guerras, num longo processo de unificação do território por um poder central, que só terminaria no século seguinte. Os jesuítas, ordem que manteve o monopólio da evangelização do Japão até o ano de 1593, acabaram por se envolver no complexo jogo político de então, à procura de patronos e proteção para que pudessem espalhar o Evangelho dentre a população nativa. Sem qualquer proteção garantida a maneira que encontraram para cristianizar os japoneses foi implicarem-se na política local tentando convencê-los de que o cristianismo era a verdadeira religião. A forma como se deveria dar esse processo de convencimento não foi, contudo, consenso entre os jesuítas, que acabaram se dividindo acerca do melhor método. Se de um lado o Visitador Geral das Índias Orientais, Alexandre Valignano, formulou um método inovador, denominado pelo próprio como acomodação (ou accomodattio em italiano), uma outra parcela da ordem, encabeçada pelo segundo superior da missão japonesa, Francisco Cabral, discordava, afirmando que o processo de evangelização deveria sempre priorizar os regramentos da Ordem para não correr o perigo de extraviar a mensagem. O objetivo da presente dissertação é, portanto, mapear e compreender essas duas diferentes estratégias de evangelização, tanto para a missão para a qual foi criada, no Japão, quanto para os seus agentes, os jesuítas.||In 1549, the first Christian missionaries arrived in Japan to evangelize the natives. They arrived some yearsafter the Portuguese traders, but did not stay under their protection. On the contrary, the missionaries entered the Japanese territory by their selves, while the traders stayed only in the port cities. At that time Japan was emerged in many civil wars in a period called Sengoku Jidai (the country at war). The Jesuits the denomination that hold the monopoly of the Japanese mission until 1593 saw their selves involved in a complicated political plot. As they could not count on any secular protection, they chose to look for the warlords (daimy) protection to accomplish the evangelization of the Japanese people. The only way for that was the convincement of the people that Christianity was the true religion. Nevertheless, even among the Jesuits that went to the Japanese mission, there was not a consensus about the best way to convince the Japanese to become Christians. The Visitor of the Jesuits missions in Asia, Alexandre Valignano, designed a new method called accomodatio, but some Jesuits were against it. Led by the second Superior of the Japanese mission, Francisco Cabral, they claimed that accomodatio was not the best way once it could mislead the neophytes. What they should do, in Cabrals point of view, was to follow strictly the rules of the Society of Jesus. The aim of this essay is to understand these two methods of evangelization and their meaning for both the Jesuits and the Japanese.","|Academic Department:  Filosofia, Letras e Ciências Humanas|Advisor:  Zeron, Carlos Alberto de Moura Ribeiro",,Portuguese,CULL|REVIEW
Dissertation,"Bernasconi, Gina",2006,Art and Religious Education: Seeking Meaning in the Sacred Seriousness of Art,Fitzroy,Australian Catholic University,"x, 261",EdD diss.,,http://worldcat.org/oclc/864430796,,,20th century,Arts -- Sacred Art -- Aesthetics|Education -- Religion,,"von Balthasar, Hans Urs, 1905–1988|Lonergan, Bernard J. F., 1904–1984","In relation to the post-compulsory religious education program of a Catholic secondary college for boys, this research study set out to ascertain the role of art as a medium for the self-revelation of God in the linking of aesthetic and religious experience. In other words, this research study proposed to provide a group of students with a space and opportunity for a 'calling to attend' experience of God; that is, an experience that was compelling. The theoretical framework called on two types of concepts: first, those related to the theological investigation of revelation and its connection with the aesthetic and religious experience; and secondly, those developed from current educational research and research into Religious Education paradigms. The development of this research study therefore: established the context within which the study was situated; discussed a theological framework from Hans Urs von Balthasar and its links with this research study; examined the theory of Bernard Lonergan that art was a carrier of meaning for religious experience; discussed the role of revelation, aesthetic and religious experience and the religious imagination located within the 'graced nature' concept of Catholic theology; and sought to determine the contribution such a learning experience could make to the religious development of post-compulsory students in a boys' senior secondary college. This study operated within a constructivist paradigm using case study and qualitative research methods. A focus group provided the research instrument for data gathering and included: participant observation; field notes; focus group discussions; and transcript analysis of the taped conversations of participants. The findings of this research study provided direction for further research and practice in post-compulsory religious education classroom program.",,,English,CULL|REVIEW
Dissertation,"Béroujon, Anne",2006,"L'ecrit dans la ville espaces, échanges et identités à Lyon au XVIIe siècle","Lyon, France",Université Lumière Lyon 2,622,PhD diss.,,,,,17th century,History -- Local|History -- Social History -- Urban Sociology,Europe -- France -- Lyon,,"L'écart propre à l’époque moderne entre l’expansion des formes écrites dans la ville et la maîtrise inégale des compétences de lecture et d’écriture invite à s’interroger sur le rapport entre l’écrit et la société urbaine. La présente démarche vise à comprendre les appropriations de l’écrit, la pluralité de ses interprétations et de ses usages. A Lyon, au XVIIe siècle, période considérée comme celle de l’entrée dans l’écrit (accroissement de l’enregistrement et du contrôle, inflation paperassière, constitution d’archives par les institutions), quels sont les usages de l'écrit, de quels statuts symboliques est-il investi ? L’accès croissant des individus à l’écrit, qu’il faut analyser précisément (temps, lieux, logiques de la diffusion selon les formes écrites) induit des changements, que l’on peut suivre selon trois perspectives. Inscrit dans un lieu, l’écrit a d’abord des effets sur l’appréhension de l’espace, que ce soit l’espace graphique, l’espace de l’édifice où il est inséré, de l’objet qui le supporte, ou l’espace de la ville. Il transforme ensuite les modalités des échanges marchands en s’imposant dans les transactions économiques les plus courantes, qui contribuent à familiariser la population urbaine avec son maniement. Il est enfin au cœur de la constitution d’une culture, culture de groupe ou d’individu, et des phénomènes identitaires qui l’accompagnent. Ces trois axes privilégient chaque fois des formes écrites différentes, pour certaines ancrées dans des traditions bibliographiques, écrits exposés, papiers, livres et ego-documents, correspondant aux modalités de leur appréhension (exposition, circulation, conservation).||This thesis attempts to approach the relationships between an urban population and literacy at a time characterised by an increase of writings and a resort even more important to writings (development of scribal proofs in justice, ""bureaucratization"", constitution of public archives). The gap between the capacity of reading and writing (which concerns a few persons) and the writing forms' expansion is the key of our investigation. In the seventeenth century, in the big town of Lyon, there are many ways to measure the inflation of writings and to understand their appropriations. First, we try to see how epitaphs, house names, shop signs, permanent and temporary inscriptions are surrounding the city, how the institutions (and principally the Municipality) product rules and resort to literate men like Jesuits to mark their names on Lyon's walls and buildings and to catch the power of the urban signs and doing so, how they contribute to create a public sphere. Then, we examine the question of the usual writings, contracts, receipts, economic and judiciary documents, which the common population is compelled to deal with. The trials of thefts of papers and of false documents inform about the appearance of a scribal proof's economy. At least, we question the social and cultural identity's build-up by the possession of printed books and by the act of writing (""ego-documents"").","|Academic Department:  History|Advisor:  Bayard, Françoise",,French,CULL|REVIEW
Dissertation,"Berry, Bryan Hathorn",2014,Spenser's Rhetorical and Semiotic Strategies amid Sixteenth-Century Religious Controversies,,University of Michigan,,PhD diss.,,,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9226846,,16th century,Controversies -- England|Arts -- Rhetoric|Literature -- Literary Criticism,Europe -- UK -- England,"Persons, Robert, 1546–1610","Recent critics such as Anthea Hume and John King persuasively have placed Spenser's verse within the context of sixteenth-century Protestantism. The contribution of this dissertation is to show how the fullest readings of Spenser's representations of Christianity must take into account the interplay between Protestant and Catholic semiotic values. Spenser reclaims some of the outward forms associated with Catholicism and invests them with inwardly Protestant significations to present them as inclusively, merely Christian. In Chapters One and Two I examine the effect of the controversies between Protestants and Catholics on Spenser's rhetorical strategies in his addresses to Lord Burghley, Queen Elizabeth, the Earl of Essex, and other dedicatees of The Faerie Queene. I compare Spenser's strategies with those of Jesuit Robert Persons, zealous Protestant George Gifford, and John Donne in his Pseudo-Martyr. In Chapter Three I argue that Spenser sets into play a dialectic between the competing values of the Protestant and Catholic camps in order to synthesize them. Spenser asks the reader to consider Catholic values from the Protestant perspective, and vice versa, in his depictions of the House of Holiness, St. George, and Arthur, in his representations of sacraments, in the dialogues of the February, May, and July eclogues of The Shepheardes Calender, and in his discussions of religion in Mother Hubberds Tale and A View of the Present State of Ireland. In Chapter Four I look at the analogies between the heated debates over how to interpret the Eucharist and Spenser's continual problematizing of how to read his poetic signs. The debate between Thomas Cranmer and Stephen Gardiner over the Eucharist guides my discussion, as does George Gifford's Dialogue between a Papist and a Protestant (1582). The work of Ferdinand de Saussure and Mikhail Bakhtin particularly influences my approach to semiotics. In Chapter Five I examine the relation between Spenser's figures of the mons","|Advisor:  Knott, John",,English,KEEP|REVIEW
Dissertation,"Berthelot, Pierre",2014,Maurice Duplessis: Mises en récit d'un personnage historique,,Université de Montréal,,MA thesis,,,http://hdl.handle.net/1866/11095,,,History -- Biography|Historiography -- Theory,North America -- Canada -- Québec,"Certeau, Michel de, 1925–1986","Comme son titre l’indique, ce mémoire a pour objet une réflexion sur la mise en récit d’un personnage historique. Afin d’explorer l’évolution des points de vue sur un personnage historique (Maurice Duplessis) et l’époque à laquelle il est rattaché dans la mémoire collective (la Grande noirceur), ce travail s’appuiera sur la théorie de la biographie de François Dosse (Le pari biographique) ainsi que sur les mises en récit et le discours de trois auteurs différents. La première biographie analysée sera Maurice Duplessis et son temps, récit historique romancé et admiratif d’une figure quasi royale, écrit par Robert Rumilly, historien royaliste et disciple de Charles Maurras. La seconde biographie analysée sera Duplessis, le grand récit épique d’un conservateur illustre, écrit par Conrad Black, homme d’affaires et historien de sensibilité conservatrice. Finalement, la troisième biographie analysée sera la série télévisée Duplessis, écrite par Denys Arcand, présentant Duplessis comme l’incarnation tragique et séguiniste de la nation canadienne-française, lucide et désabusé par rapport à l’impasse historico-politique de son peuple. Pour compléter l’analyse, ce mémoire s’appuiera aussi sur la théorie de l’identité narrative de Paul Ricœur dans Soi-même comme un autre, Temps et récit et La mémoire, l’histoire, l’oubli, et sur la mise en récit et l’écriture même de l’histoire étudiée par Michel de Certeau dans L’écriture de l’histoire. À travers l’analyse de ces trois biographies, ce mémoire tentera de montrer l’évolution du rapport à la mémoire collective et les distinctions entre l’Histoire et la fiction.||As the title indicates, the purpose of this thesis is to reflect on the narrativization of an historical figure. In order to analyse the evolution of the way we perceive an historical figure (Maurice Duplessis) and the time period to which he is commonly associated (the Great Darkness), this thesis will draw upon François Dosse’s theory on biography (Le pari biographique) and the narratives of three different authors. First, we will take a close look at Maurice Duplessis et son temps, the story of a king-like figure recounted in an admiring fashion, written by royalist historian and Charles Maurras disciple Robert Rumilly. Secondly, we will examine Duplessis, the great epic tale of an illustrious conservative’s battles, written by conservative businessman and historian Conrad Black. Lastly, we will analyse Duplessis, the TV drama written by Denys Arcand, a disciple of Quebec nationalist historian Maurice Séguin, presenting Maurice Duplessis as the tragic incarnation of the French-Canadian nation, cynical yet conscious of his people’s impossible historical and political destiny. To complete the analysis, this thesis will also rely on Paul Ricoeur’s theory on narrative identity, notably discussed in Oneself as Another, Time and Narrative and Memory, History, Forgetting, as well as Michel de Certeau’s theory on writing and narrativization of history in The Writing of History. Through the analysis of these biographies, this thesis will aim to show the evolution of the relationship to the collective memory as well as what distinguishes History from Fiction.","|Advisor:  Cardinal, Jacques",,French,CULL|REVIEW
Dissertation,"Bettiol, Maria Regina Barcelos",2008,A escritura do intervalo: A poética epistolar de Antônio Vieira,"Paris; Porto Alegre, Brazil",Université de la Sorbonne Nouvelle; Universidade federal do Rio Grande do Sul,267,PhD diss.,,,,,17th century,Foreign Missions -- Literature -- Literary Criticism|Primary Sources -- Letters,South America -- Brazil,"Vieira, António, 1608-1697","This study aims at recovering correspondence written by the Portuguese Jesuit Antônio Vieira Ravasco, known in Brazilian and Portuguese annals as Father Antônio Vieira. An emblematic symbol of the Portuguese language, the priest lived in the Portuguese America, where nowadays lies the territory of Brazil during the seventeenth century .It is precisely in this unpredictable Portuguese America, in this Colonial Brazil where, as an “exile”, Vieira wrote most of his letters and works, producing a literature that was neither Portuguese nor Brazilian, but a deterritorialized Portuguese Literature – a Portuguese-Brazilian literature, written between two worlds. Vieirian epistolography comprises a cartography depicting the author’s geographic and textual scenery, as well as a culture that was still in bloom and whose unity rose paradoxically under the sign of diversity. These letters are the founding texts of the Brazilian culture, once they have contributed to the development of a national imaginary.| |Ce travail a pour but de réhabiliter la correspondance du jésuite portugais Antônio Vieira Ravasco, connu dans les annales de la Littérature brésilienne et portugaise comme le Père Antônio Vieira. Figure emblématique de la lusophonie, Vieira vécut en Amérique Portugaise, actuellemente territoire du Brésil, au cours du dix-septième siècle. C’est justement dans cette imprévisible Amérique, le Brésil-colonie, que l’exilé Vieira écrivit la majorité de sa correspondance et de son oeuvre, pratiquant non pas une littérature portugaise ou brésilienne à proprement parler, mais plutôt une littérature déterritorialisée, une littérature luso-brésilienne écrite dans un entre-deux-mondes. La lettre vieirienne est une cartographie du paysage géographique et textuel de l’auteur, d’un Brésil en formation, d’une culture en gestation dont l’unité naît paradoxalemente sous le signe de la diversité. Les lettres se configurent comme textes fondateurs de notre culture même si elles contribuèrent à la formation de l’imaginaire national.","|Academic Department:  Comparative Literature|Advisor:  Silva, Maria Luiza Berwanger da|Bessière, Jean",,Portuguese,CULL|REVIEW
Dissertation,"Bianchi, Eric",2011,Prodigious Sounds: Music and Learning in the World of Athanasius Kircher,"New Haven, CT",Yale University,"vi, 284",PhD diss.,,http://www.worldcat.org/oclc/775828847,,,17th century,Arts -- Music,,"Kircher, Athanasius, 1602–1680","This study examines the musical writings of the Jesuit polymath Athanasius Kircher [1601/2–1680], in particular his Musurgia universalis [1650]. Because Kircher covered the broadest range of musical topics and because he gained a worldwide readership, his work is especially useful in assessing learned inquiry into music during the seventeenth century. Clerics and courtiers like Kircher dominated the field, and their interests often diverged from those of composers and performers. In Kircher's time, learned musical researches were pursued in conjunction with others into mathematical and antiquarian matters. The nature and depth of Kircher's religious and institutional commitments were an important factor in distinguishing his musical studies from those of his contemporaries. The first chapter places Kircher in context and examines the genesis and early reception of Musurgia . Three subsequent chapters explore historical, theological, and scientific themes within his work. Kircher's researches into music history addressed contemporary debates over the merits of older music. In contrast to the humanist historiographical models adopted by most contemporary writers, Kircher traced music history according to the outlines of sacred history. Although his conclusions are now considered unreliable, they were widely discussed and debated as late as the 1770s. As with his historical views. Kircher's aesthetic theories were influenced by Jesuit liturgical and devotional practices. His music-technical language united theological and physical concepts that were themselves increasingly subject to scientific scrutiny. Kircher's researches into musical science rested upon the traditional understanding of music as a form of abstract mathematical knowledge, closely related to astronomy. Nevertheless, he attended to actual musical practice more closely than had earlier Jesuit mathematicians, and his treatment of musica mundana can be seen as having influenced the gradual separation of music from the quantitative disciplines of the quadrivium. Kircher's scientific practice, which emphasized wonders, prodigies, and spectacle, offers insight into seventeenth-century musical connoisseurship. The final chapter traces the fate of Musurgia , which remained a central work in its field for over a century. Patterns of readership changed as music came increasingly to be regarded as more an art than a science--a development to which Kircher himself contributed.",|Academic Department:  Music,,English,KEEP|REVIEW
Dissertation,"Bianchi Melchin, Derek",2008,"Insight, Learning, and Dialogue in the Transformation of Religious Conflict: Applications from the Work of Bernard Lonergan",Montreal,McGill University,,PhD diss.,,,http://digitool.library.mcgill.ca/R/?func=dbin-jump-full&object_id=115603,,20th century,Philosophy -- Theory of Knowledge|Interreligious Dialogue -- Method,,"Lonergan, Bernard J. F., 1904–1984","A wealth of recent scholarship has focused on interreligious dialogue as a resource for the transformation of religious conflicts. Such studies often mention the importance of discoveries or 'insights' as key factors in successful dialogue processes. However, few authors have devoted sustained attention to understanding how insights contribute to transforming conflict dynamics during interfaith dialogues. The present study draws on the cognitional theory of Canadian philosopher Bernard Lonergan as a framework for exploring the significance of insights in interreligious dialogue processes. The study begins with an overview of representative perspectives on learning in interfaith dialogue and conflict transformation. Following this, I offer a detailed analysis of Lonergan's work on insight in understanding, judgment, and practical learning, highlighting the important role that insights play in structuring interpretation and communication in dialogue situations. Drawing on Lonergan's theoretical framework, I explore how insights are implicated in shaping communication in dialogues between religious actors, both in the development of conflicts, as well as in their transformation. Using case studies from dialogues involving Christians, Muslims, and Jews, I examine how mistaken insights can contribute to sustaining relationships of threat among parties in religious conflicts. I then examine how dialogue processes can act as catalysts for the emergence of new and more accurate insights that transform parties' understanding of the conflict. By helping parties correct mistaken interpretations and discover alternate ways of communicating, such insights can often play an important role in facilitating shifts from hostile patterns of interaction to more cooperative forms of engagement. Throughout, I explain how Lonergan's work offers significant advances over existing discussions of insight and its role in conflict transformation processes. His approach identifies a range of different types of insights, and thus facilitates an analysis of the different roles insights can play in structuring communication at different phases of dialogue processes. It also permits a more developed exploration of the various cognitional and environmental conditions that facilitate or frustrate the occurrence of insights in dialogue situations. His work thus constitutes an important resource for theorists and practitioners seeking a better understanding of the cognitive dynamics that contribute to the transformation of interreligious dialogue processes.",|Academic Department:  Religious Studies,,English,CULL|REVIEW
