Reference Type,Author,Year,Title,Title of Journal,Volume,Issue,Page Range,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Journal Article,"Clifford, Catherine E.",2002,Lonergan's Contribution to Ecumenism,Theological Studies,63,3,521–538,,September,0040-5639,,,http://eds.b.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=3&sid=9c87dd40-91dc-4aa9-9cf6-ec354e84742d%40sessionmgr104&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0001290017&db=rfh,,20th century,Theology -- Ecumenism|Biography -- Intellectual|Theology -- Method,,"Lonergan, Bernard J. F., 1904–1984","[The author suggests that the reception of ecumenical consensus is related to an adequate appreciation of theological method. The functional approach outlined in Bernard Lonergan's M e t h o d in T h e o l o g y provides a framework for reflecting on the role of ecu- menical consensus statements and their relation to diverse expres- sions of the apostolic faith in the past, present, and future. She then proposes that ecumenical dialogues not limit themselves to the elaboration of consensus but make explicit the implications in rela- tion to past judgments and future articulations of faith",,,,,English,REVIEW
Journal Article,"Carey, Patrick",2002,Two Pioneers in Theological Education: Gerard S. Sloyan and Bernard J. Cooke,U. S. Catholic Historian,20,2,1–12,,Spring,0735-8318,,,http://www.jstor.org/stable/25154801,,20th century,Education -- Theology|Biography -- Intellectual,North America -- USA -- Wisconsin -- Milwaukee,"Cooke, Bernard, 1922–2013",,,,,,English,REVIEW
Journal Article,"Bourg, Florence Caffrey",2002,Domestic Church: A New Frontier in Ecclesiology,Horizons,29,1,42–63,,Spring,0360-9669,,,http://eds.b.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=8&sid=aedbd708-e878-437e-a2ea-dbadabd6978f%40sessionmgr120&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0001275777&db=rfh,,20th century,Theology -- Ecclesiology,,"Rahner, Karl, 1904–1984","This essay traces the revival of the concept of domestic church from Vatican II to the present. It identifies areas of preliminary consen- sus, as well as unresolved issues, which surface explicitly or implic- itly in discussion of domestic church. Using Rahner's thought, the potential significance of domestic churches in ecclesiology is exam- ined in more depth.",,,,,English,REVIEW
Journal Article,"Begheyn, Paul",2002,The Cult of St. Francis Xavier in the Dutch Republic,Archivum historicum Societatis Iesu,71,142,303–320,,July–December,0037-8887,,,https://archive.org/details/AHSI-2002,,17th century,History -- Regional -- Spiritual History|Spirituality -- Devotion -- Saints and Blessed|Foreign Missions,Europe -- Netherlands,"Francis Xavier, Saint, 1506–1552",,,,,,English,REVIEW
Journal Article,"Ziemiański, Stanisław",2003,Possibility—Actuality—God,Forum philosophicum: International Journal for Philosophy,8,,35–48,,,1426-1898,10.5840/forphil200387,,https://www.pdcnet.org/forphil/content/forphil_2003_0008_0035_0047,,21st century,Philosophy -- Religion|Theology -- Ontology,,"Spitzer, J. R., 1952–",,,,,,English,REVIEW
Journal Article,"Zas Friz de Col, Rossano",2003,El ministerio ordenando de la Compañía de Jesús: Revisión de la bibliografía postconciliar,Estudios eclesiásticos,78,306,483–519,,July–September,0210-1610,,,,,20th century|21st century,Church -- Councils -- Vatican II|Theology -- Religious Life|Institute|Historiography,,,"El presente estudio es la continuación de una publicación anterior en|torno a la evolución postconciliar de la relación entre el ministerio ordenado|(MO) y la vida consagrada (VC). En esta ocasión ofrecemos una|revisión bibliográfica de las publicaciones realizadas por autores jesuí-|tas que después del Vaticano II han escrito específicamente sobre el MO|en relación con la vida consagrada del jesuíta y de la Compañía. Al igual|que en la investigación precedente, seguimos una progresión cronológica|(de los años sesenta en adelante) y concluimos con una evaluación|que abre perspectivas a desarrollos futuros.",,,,,Spanish,REVIEW
Journal Article,"Welie, Jos V. M.",2003,Ignatius of Loyola On Medical Education. Or: Should Today's Jesuits Continue To Run Health Sciences Schools?,Early Science and Medicine,8,1,26–43,,,1383-7427,10.1163/157338203X00125,,http://booksandjournals.brillonline.com/content/journals/10.1163/157338203x00125,,16th century|17th century|18th century|19th century|20th century|21st century,Ignatius of Loyola -- Spirituality -- Body|Education -- Higher Education -- Sciences -- Medicine |Education -- Identity,,"Ignatius, of Loyola, Saint, c.1491–1556","There are at present 28 Jesuit colleges and universities in the United States, which together offer more than 50 health sciences degree programs. But as the Society's membership is shrinking and the financial risks involved in sponsoring health sciences education are rising, the question arises whether the Society should continue to sponsor health sciences degree programs. In fact, at least eight Jesuit health sciences schools have already closed their doors. This paper attempts to contribute to the resolution of this urgent question by reexamining Ignatius' own views on health sciences education and, more specifically, his prohibition of the Society's sponsoring medical education. It concludes on the basis of an historical analysis of Ignatius' views that there is insufficient support for today's ,Jesuits to maintain their engagement in medical and health care education.",,,,,English,KEEP
Journal Article,"Welch, Lawrence J.",2003,Quaestio disputata: Reply to Richard Gaillardetz on the Ordinary Universal Magisterium and to Francis Sullivan,Theological Studies,64,3,598–609,,September,0040-5639,,,http://eds.b.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=4&sid=f785dedf-0ec3-4a6b-a868-ab850a32a924%40sessionmgr103&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0001432199&db=rfh,,20th century|21st century,Theology -- Dogmatic|Theology -- History|Councils -- Vatican II,,"Sullivan, Francis A., 1922–","The author replies to criticisms of his work on the ordinary uni- versal magisterium and to his interpretation of the work of Francis A. Sullivan. He offers further reflections on the ordinary universal magisterium based on issues stimulated by Gaillardetz's reading of Sullivan. While acknowledging that the consensus of theologians can be a way to recognize the infallible teachings of the ordinary universal magisterium, the author argues that the consensus of theo- logians is neither necessary in order to know them, nor the only way to know them. He responds to Gaillardetz's claim that a papal confirmation of the infallible teachings of the ordinary and univer- sal magisterium should function like that of a notary.",,,,,English,REVIEW
Journal Article,"Weithman, Paul",2003,Hollenbach on the Common Good,Horizons,30,2,319–324,,Fall,0360-9669,,,http://eds.a.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=2&sid=e7e8acef-3e05-4cf2-b415-fd4b1566e31c%40sessionmgr4007,,20th century|21st century,Theology -- Society|Theology -- Moral|Political Thought,,"Hollenbach, David, 1942–",,,,,,English,REVIEW
Journal Article,"Walsham, Alexandra",2003,Miracles and the Counter-Reformation Mission to England,The Historical Journal,46,4,779–815,,December,0018-246X,10.1017/S0018246X03003303,,http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=190705&fulltextType=RA&fileId=S0018246X03003303,,16th century|17th century,Controversies -- England|Anglicanism|History -- Regional -- Religious History,Europe -- UK -- England,,"This article explores the way in which the Counter Reformation priests sent to England after 1574 cultivated and harnessed the culture of the miraculous in their efforts to reform and evangelize the populace and to defend doctrines and practices assaulted by Protestant polemicists. Drawing on the insights emerging from recent research on Catholic renewal on the Continent, it shows how the seminary clergy and especially the Jesuits fostered traditional beliefs and practices associated with saints, relics, and sacramentals and exploited the potential of exorcisms and visions for didactic and proselytizing purposes. Close examination of these strategies serves to question some existing assumptions about the nature, objectives, and impact of the English Catholic mission and to illuminate the particular challenges that persecution presented to a movement determined to purge popular piety of its ‘superstitious’ accretions. It underlines the tensions between ecclesiastical direction and lay initiative which characterized a context in which Catholicism was a minority Church and highlights the frictions and divisions which these attempts to utilize supernatural power stimulated within the ranks of the Counter Reformation priesthood itself.",,,,,English,KEEP
Journal Article,"Üçerler, M. Antoni J.",2003,"Alessandro Valignano: Man, Missionary, and Writer",Renaissance Studies,17,3,337–366,,September,1477-4658,,https://www.worldcat.org/oclc/959133939,,,16th century,Foreign Missions -- Biography,Europe -- Portugal|Asia -- India|Asia -- China -- Macau|Africa -- Mozambique,"Valignano, Alessandro, 1538–1606","The Italian missionary Alessandro Valignano (1539–1606) was responsible for all Jesuit missions in India, Japan, and China from 1573 to 1606. He soon came to be one of the most influential Europeans in Japan at a key juncture in the history of unification of that country. Although his activities fell principally within the ecclesiastical administration of the Portuguese Padroado, his influence extended to the political, economic, and even military matters regarding the Iberian presence in East Asia. Valignano is best known for his lasting contribution to the development of a new model of Christian expansion. His bold and controversial ideas concerning the necessity to respect fully and adapt to the highly developed cultures of Japan and China were to have a lasting effect on all subsequent missionary enterprises in the region and produced some startling results at the level of cross-cultural encounters.",,,,,English,KEEP
Journal Article,"Tourpe, Emmanuel",2003,Au principe de Surnaturel: Le thomisme de Pierre Rousselot (1879–1915),Revue des sciences religieuses,77,2,166–82,,,0035-2217,10.3406/rscir.2003.3667,,http://www.persee.fr/doc/rscir_0035-2217_2003_num_77_2_3667,,20th century,Theology -- Philosophy -- Ontology|Theology -- Thomism,Europe -- France,"Rousselot, Pierre, 1878–1915|de Lubac, Henri, 1896–1991","The almost forgotten Work of P. Rousselot is an important source of H. de Lubac's Thought. Without pproaching now the question of the exact relation between those two thinkers, the present paper exposes the original and powerful Thomism of P. Rousselot. Complementary with Blondel's own way, this Thomism of Action refused the conceptualism in which was enclosed the thomistic comprehension of knowledge in those days. On the contrary, for ...",,,,,French,REVIEW
Journal Article,"Thio, Santiago",2003,La experiencia de Dios reflejada en el diario espiritual de San Ignacio,Manresa,,75,27–36,,,0214-2457,,https://www.worldcat.org/oclc/926262995,,,16th century,Ignatius of Loyola -- Spirituality,,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,REVIEW
Journal Article,"Tenace, Edward",2003,A Strategy of Reaction: The Armadas of 1596 and 1597 and the Spanish Struggle for European Hegemony,The English Historical Review,118,478,855–882,,September,0013-8266,,,http://www.jstor.org/stable/3491126,,16th century,Politics -- War|History -- Regional|England,Europe -- Spain|Europe -- UK,"Persons, Robert, 1546–1610",,,,,,English,REVIEW
Journal Article,"Święcicki, Cezary K.",2003,Mityczni bogowie natury w literaturze staropolskiej,Pamiętnik literacki,94,4,193–209,,,0031-0514,,,,,16th century|17th century,Literature -- History -- Regional|Foreign Missions -- History -- Religious History,Europe -- Poland|Europe -- Lithuania,,,,,,Mythical gods of nature in old Polish literature,Polish,REVIEW
Journal Article,"Suárez Quevedo, Diego",2003,"Sombras, luces y penumbras en ambientaciones y figuraciones artísticas a fines del siglo XVI e inicios del XVII",Anales de historia del arte,13,,155–189,,,0214-6452,,,https://revistas.ucm.es/index.php/ANHA/article/view/ANHA0303110155A,,16th century|17th century,Arts -- Art History|Literature -- History|Arts -- Aesthetics|Arts -- Painting,Europe -- Italy -- Rome|Europe -- Italy -- Venice|Europe -- Spain -- Toledo,"Bellarmino, Roberto Francesco Romolo, Saint, 1542–1621","Consideraciones y reflexiones en las que nocturno pictórico o espacios en semipenumbra, intencionalmente concebidos, pueden, en el contexto finisecular señalado, relacionarse con aspectos homónimos del pensamiento y literatura coetáneos (sobre todo san Juan de la Cruz, Giordano Bruno y Tomasso Campanella). En suma, sobre una noche del espíritu referida, fundamentalmente, a la escuela pictórica veneciana del siglo XVI (Lorenzo Lotto, Tiziano, Veronés, Tintoretto y Jacopo Bassano), a El Greco, a Caravaggio y algunos caravaggistas, para concluir con obras de Ribera de inicios del siglo XVII.",,,,,Spanish,REVIEW
Journal Article,"Steck, Christopher",2003,Graced Encounters: Liturgy and Ethics From a Βalthasarian Perspective,Horizons,30,2,255–279,,Fall,0360-9669,,,http://eds.a.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=2&sid=e7e8acef-3e05-4cf2-b415-fd4b1566e31c%40sessionmgr4007,,20th century,Theology -- Liturgy|Theology -- Moral|Philosophy -- Ethics,,"von Balthasar, Hans Urs, 1905–1988","The theological aesthetic framework of Hans Urs von Balthasar can be used to develop a ""continuity"" model for relating liturgy and the moral life: each supports the Christian's response of faith but in distinctive ways. The fundamental source of Christian faith is the graced encounter with Christ. For Balthasar, this encounter occurs narratively: our stories are invited into Christ's story where we dis­ cover a personal God calling us by name. Both liturgy and the moral life mediate the Christian's entrance into this salvine narrative; however, each does so by emphasizing a different aspect of it: liturgy underscores the eschatological fullness of the narrative; the moral life invites us into Christ's story at a point ""between the times."" This different eschatological emphasis leads liturgy and the moral life to take on complementary roles in nurturing the Christian's encounter with Christ.",,,,,English,REVIEW
Journal Article,"Standaert, Nicolas",2003,The Transmission of Renaissance Culture in Seventeenth-Century China,Renaissance Studies,17,3,367–391,,September,1477-4658,,,http://onlinelibrary.wiley.com/doi/10.1111/1477-4658.t01-1-00028/full,,17th century,Foreign Missions -- History -- Regional -- Intellectual|Foreign Missions -- Intercultural Dialogue,Asia -- China,"Trigault, Nicolas, 1577–1628|Verbiest, Ferdinand, 1623–1688|Ricci, Matteo, 1552–1610|Vagnoni, Alfonso, 1566–1640|Longobardi, Nicolò, 1559–1664 or 1655","This article focuses on the transmission of Renaissance culture by Jesuit missionaries in seventeenth-century China (c. 1580s–c. 1680s). It discerns three phases of transmission. The first period, corresponding to the initial thirty years (1582–1610), is characterized by a spontaneous transmission which fitted well both with the aspirations of the transmitter and the requests of the receiver. In the second phase (c. 1620–c. 1630s), the transmission became a more systematic project of translating Renaissance writings. Its success depended on whether the initiative was taken by Chinese scholars and on the audience for which these works were intended. The third phase is only an aftermath: the Jesuits made a failed attempt to have Aristotelian philosophy introduced as the basis of the Chinese educational system (1678–83). Their initiative no longer corresponded to the times, which is evident in the negative reception they received and by the limited participation of Chinese collaborators in the project.",,,,,English,KEEP
Journal Article,"Soto Artuñeda, Wenceslao",2003,Celebraciones por las canonizaciones de jesuitas en el Colegio de Málaga en la edad moderna,Revista de historia moderna: Anales de la Universidad de Alicante,,21,141–164,,,0212-5862,,,http://rua.ua.es/dspace/handle/10045/1379,,16th century|17th century|18th century,Education -- Colleges |History -- Local|Spirituality -- Devotion|Saints and Blessed,Europe -- Spain -- Málaga,"Gonzaga, Luigi, Saint, 1568–1591|Ignatius, of Loyola, Saint, c.1491–1556|Francis Xavier, Saint, 1506–1552|Borja, Francisco de, Saint, 1510–1572|Kostka, Stanislas, Saint, 1550–1568|Régis, Jean François, Saint, 1597–1640|Miki, Paul, Saint, 1564–1597|Goto, John Soan de, Saint, 1578–1597|Kisai, James, Saint, 1533–1597","La Compañía de Jesús es una de las instituciones eclesiales importantes en la configuración y mantenimiento de la religiosidad, tanto personal como colectiva. En este título analizamos su aportación a la religiosidad a través de acontecimientos extraordinarios en la Edad Moderna, como eran las celebraciones de beatificaciones y canonizaciones de jesuitas, festejos tanto religiosos como civiles, en los que participaba 'toda la ciudad. Hasta 1773 (fecha de la supresión de la Compañía), llegaron a los altares los siguientes jesuitas: Ignacio de Loyola, Francisco Javier, Francisco de Borja, Luis Gonzaga, Estanislao de Kostka, Juan Francisco de Régis y los Mártires del Japón.||The Society of Jesus was quite an important ecclesiastical institute in keeping the faith and religion in personal and collective fields. We study in this paper its contribution to piety and religiousness in extraordinary events such as the Canonizations and Beatifications of Jesuits in Modern Age. The whole city of Málaga took part in these religious as well as civic celebrations (up to the year 1773 in which the Society of Jesus was abolished). During this time the following Jesuits were canonized: Ignatius of Loyola, Francis Xavier, Francis Borgia, Aloysius Gonzaga, Stanislaus Kostka, John Francis Regis and the Martyrs of Japan.",,,,,Spanish,REVIEW
Journal Article,"Ślipko, Tadeusz",2003,Mariana I. Morawskiego SJ pojęcie filozofii w zastosowaniu do współczesnej dyskusji wokół encykliki Jana Pawła II Fides et ratio,Forum philosophicum: International Journal for Philosophy,,8,49–76,,,1426-1898,,,http://forumphilosophicum.ignatianum.edu.pl/index.php?id=2827,,19th century,Philosophy -- Religion|Philosophy -- Method|Popes -- Encyclicals|Philosophy -- Scholasticism,Europe -- Poland,"Morawski, Marian, 1845–1901","Examines the problem of the relationship between philosophy and faith. Criticism on the text of 'Filozofia i jej zadanie,' by Marian Ignacy Morawski; Reflections on the work of Morawski in the context of discussion of the encyclical 'Fides et ratio,' by John Paul II; Key principles of scholastic philosophy",,,,,Polish,REVIEW
Journal Article,"Šimončič, Jozef",2003,P. Alfréd Delp SJ,Viera a život,13,3,277–279,,,1335-6771,,,,,20th century,Theology |Philosophy|Biography|Nazism,Europe -- Germany,"Delp, Alfred, 1907–1945",,,,,,Slovak,REVIEW
Journal Article,"Silva, Jaqueson Luiz da",2003,"'Leys da história', 'estilo claro', 'ordem e successão das cousas' na História do Futuro do Padre Antônio Vieira",Topoi: Revista de história,4,6,82–105,,January–June,1518-3319,,,,,17th century,Historiography|Biography -- Intellectual,South America -- Paraguay |South America -- Brazil|South America -- Uruguay|South America -- Argentina,"Vieira, António, 1608-1697",In the Livro Anteprimeiro da História do Futuro — and also the other books that compose the História do Futuro — it is possible to analyze the elements of the historiography in which Antonio Vieira was inserted and maybe we can find clues of the reasons of using history and its elements as a way of defense during the Inquisition.,,,,,Portuguese,REVIEW
Journal Article,"Schultenover, David G.",2003,Luis Martín García: The Jesuit General of the Modernist Crisis (1892–1906); On Historical Criticism,Catholic Historical Review,89,3,434–463,,July,0008-8080,,,https://muse.jhu.edu/article/47433,,19th century|20th century,Theology -- History|Controversies -- Theology -- Modernism|Biography|Generals -- Luis Martín|Government,,"Martín, Luis, 1846–1906",Discusses the relationship between the papacy and the restored Society of Jesus in the nineteenth century. Establishment of the Monumenta Historica Societatis Iesu; Histories of the Society of Jesus; Aspects of modern criticism.,,,,,English,KEEP
Journal Article,"Saint Clair Segurado, Eva María",2003,"'Padrecito, los padres jesuitas vuelven': Revelaciones, profecías y otros hechos maravillosos en Nueva España tras la expulsión de la Compañía de Jesús (1767–1772)",Revista de historia moderna: Anales de la Universidad de Alicante,,21,291–314,,,0212-5862,,,http://rua.ua.es/dspace/handle/10045/1385,,18th century,Foreign Missions -- History -- Regional -- Expulsion|Foreign Missions -- Spirituality,North America -- Mexico,,La conmoción experimentada en algunos sectores de la población a raíz de la expulsión de los jesuitas provocó la aparición en Europa y en la América española de abundantes fenómenos proféticos y maravillosos en los que se expresaban no sólo dolor y confusión también ansia por el regreso de los religiosos y una dura crítica al rey y demás responsables de la expulsión. En este artículo se estudia la variedad y difusión de estos son en Nueva España a través de la actividad represora ejercida por la Inquisición.||The disturbance caused in certain sectors of the population as a result of the expulsion of the Jesuits brought about the apparition of many prophetical and marvelous phenomena in Europe and Spanish colonies of America in which were expressed not only pain and confusion but also a yearning for the return of the Jesuits and a severe criticism of the king and others responsible for their expulsion. In this article we analyze the variety and spreading of this kind of phenomena in New Spain through the repressive activity of the Inquisition.,,,,,Spanish,REVIEW
Journal Article,"Ruiz Pérez, Francisco Javier",2003,El placer en los ejercicios espirituales ignacianos: Algunas consideraciones,Manresa,,75,235–251,,,0214-2457,,,,,21st century,Ignatius of Loyola -- Spirituality|Ignatius of Loyola -- Spiritual Exercises,,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,REVIEW
Journal Article,"Rubiés, Joan-Pau",2003,The Spanish Contribution to the Ethnology of Asia in the Sixteenth and Seventeenth Centuries,Renaissance Studies,17,3,418–448,,September,1477-4658,,,,,16th century|17th century,Foreign Missions -- History -- Regional|Foreign Missions -- Ethnology|Foreign Missions -- Historiography,Asia -- China|Asia -- Cambodia|Asia -- Philippines,,"The Spanish colonial experience in Asia, centred on the Philippines but generating activities which extended well beyond the archipelago, produced a remarkably rich body of ethnographic sources. This article seeks to identify a number of conditions pertaining to sixteenth- and seventeenth-century Spanish historiography of Asia which determined its value and significance. These include the peculiar, highly peripheral colonial context which produced this literature; the roles of lay and religious institutions in the cultural system of the Catholic monarchy; the distinct historiographical genres and ideological agendas these institutions supported; the alternative, often opposing traditions represented by various missionary orders; the theological, humanistic and scientific assumptions of the system of learning of the Counter-Reformation; and the pervasive tension between different national identities within the Spanish system of power, especially during the union of crowns with Portugal, which invites a reconsideration not only of what constituted ‘science’, but also what constituted ‘national identity’, in that context.",,,,,English,REVIEW
Journal Article,"Rodríguez, Hermman",2003,Aportes de San Ignacio para una espiritualidad del conflicto,Manresa,,75,295–304,,,0214-2457,,,,,16th century,Ignatius of Loyola -- Spirituality,,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,REVIEW
Journal Article,"Rico Callado, Francisco Luis",2003,Las misiones interiores en España (1650–1730): Una aproximación a la comunicación en el Barroco,Revista de historia moderna: Anales de la Universidad de Alicante,,21,189–210,,,0212-5862,,,http://rua.ua.es/dspace/handle/10045/1381,,17th century|18th century,History -- Regional|Ministries -- Rural Missions|Arts -- Rhetoric,Europe -- Spain,"Calatayud, Pedro de, 1689–1773|González de Santalla, Tirso, 1624–1705","El autor estudia las misiones populares en España entre 1650 y 1730, centrando su atención en dos órdenes religiosas: jesuitas y capuchinos. Dedica su atención a los aspectos dramáticos y retóricos de la predicación popular, insistiendo en su parecido con el teatro de la misma época. De hecho, estos fenómenos pueden ser calificados como ""barrocos"", lo que significa que tanto los misioneros como los predicadores o actores concibieron la comunicación del mismo modo, tratando de persuadir y convertir a sus audiencias con la sorpresa o despertando sus emociones. Este artículo revela también la importancia de la disciplina en la labor de las órdenes religiosas, que trataron de difundir un modelo religioso devoto al conjunto de la sociedad. Esta nueva práctica fue promovida por las congregaciones fundadas por los misioneros en numerosas poblaciones, que promovieron unas prácticas devocionales muy concretas, así como una serie de nuevos motivos y cultos religiosos, todos ellos típicos del período postridentino.||The author studies the popular missions in Spain from 1650 to 1730 focusing on two religious orders: Jesuits and Capucins. He pays attention to the dramatic and rhetorical features of popular preaching which are similar to the theater of the same period. In fact, all of them can be called ""baroque"" which means that missionaries, preachers or actors conceived the communication in the same way, trying to persuade and convert their audiences with surprise, arousing their emotions. This article reveals, also, the importance of discipline in the labour of religious orders that tried to spread a devout model of religious life to the wider population. This new practice was sustained by the congregations founded by the missionaries in the villages, that encouraged particular devotional practices and a new kind of religious motives which are typical of the Postridentine period.",,,,,Spanish,REVIEW
Journal Article,"Revuelta González, Manuel",2003,"Luengo, Manuel, Memorias de un exilio: Diario de la expulsión de los jesuitas de los dominios del rey de España (1767–1768)",Estudios eclesiásticos,78,304,202–205,,January–March,0210-1610,,,,,18th century,History -- Regional -- Expulsion|History -- Regional -- Survival|Biography|Primary Sources,Europe -- Spain,"Luengo, Manuel, 1735–1816",,,,,,Spanish,REVIEW
Journal Article,"Rea, W. F.",2003,Rhodesian Pioneer,Heritage of Zimbabwe,22,,109–114,,June,0556-9605,,,,,19th century|20th century,Foreign Missions -- History -- Regional|Foreign Missions -- Colonialism,Africa -- Zimbabwe,,,,,,,English,REVIEW
Journal Article,"Pittau, Guiseppe",2003,Presentations of the Vatican Document: Consecrated Persons and Their Mission in Schools,Journal of Catholic Education,7,1,75–87,,,2164-0246,,,http://digitalcommons.lmu.edu/cgi/viewcontent.cgi?article=1239&context=ce,,20th century|21st century,Theology -- Sacraments -- Priesthood|Education -- Schools -- Personnel -- Identity|Education -- Schools -- Pedagogy,Europe -- Italy -- Rome,,,,,,,English,REVIEW
Journal Article,"Odilon Nadalin, Sérgio",2003,A população no passado colonial brasileiro: Mobilidade versus estabilidade,Topoi: Revista de história,4,7,222–275,,July–December,1518-3319,,,,,16th century|17th century|18th century|19th century,Foreign Missions -- History -- Regional -- Social History|Foreign Missions -- Colonialism|Foreign Missions -- Indigenous People,South America -- Brazil,,"The article presents the theoretical main lines of the history of Portuguese colonial America’s population with a narrative axis not based on regional history but on the history of the inhabitants Parana’s fields, during the XVIIIth century.",,,,,Portuguese,REVIEW
Journal Article,"O'Collins, Gerald",2003,Jacques Dupuis's contributions to interreligious dialogue,Theological Studies,64,2,388–397,,June,0040-5639,,,http://eds.b.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=3&sid=4c839f09-93fa-49bd-aa1c-44a7ae26770d%40sessionmgr120&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0001432212&db=rfh,,20th century|21st century,Theology -- Religious Pluralism|Biography -- Intellectual,,"Dupuis, Jacques, 1923–2004","[The author summarizes the content of Jacques Dupuis's latest work, Christianity and the Religions: From Confrontation to Dia- logue (Orbis, 2002) and indicates some of the points where it differs from his earlier, longer book, Toward a Christian Theology of Religious Pluralism (Orbis, 1997). He then reflects on the termino- logical and substantial issues that Dupuis has taken up in his two works. Both books offer outstanding contributions to interreligious dialogue.",,,,,English,REVIEW
Journal Article,"Muraro, Valmir Francisco",2003,O Brasil de António Vieira: Cenário do Quinto Império – II,Brotéria: Cristianismo e cultura,156,5–6,469–488,,May–June,0870-7618,,,http://www.broteria.pt/?detail=1&books_id=280,,17th century,Foreign Missions -- History -- Regional|Foreign Missions -- Historiography|Foreign Missions -- Biography,South America -- Brazil|Europe -- Portugal,"Vieira, António, 1608-1697","Regressado da sua primeira viagem à Europa, o P.e Vieira dedica-se à defesa do respeito dos índios e da sua evangelização. Enfrenta, com isso, a oposição dos colonos do Maranhão. O messianismo restaurador centrado na figura do rei D. João IV e a eleição divina do Reino de Portugal para cumprir uma missão de esperança para o futuro da humanidade parecem ser duas ideias centrais desta nova fase da sua vida.",,,,,Portuguese,REVIEW
Journal Article,"Muraro, Valmir Francisco",2003,O Brasil de António Vieira: Cenário do Quinto Império – I,Brotéria: Cristianismo e cultura,156,4,351–365,,April,0870-7618,,,http://www.broteria.pt/?detail=1&books_id=279,,17th century,Foreign Missions -- History -- Regional|Foreign Missions -- Historiography|Foreign Missions -- Biography,South America -- Brazil,"Vieira, António, 1608-1697","Seguindo os diversos momentos da produção dos escritos de António Vieira e evidenciando os vínculos entre eles, procura-se projectar uma nova luz sobre a sua trajectória vivencial. O advento do Quinto Império aparece como a preocupação unificadora dos seus trabalhos apostólicos, esforços diplomáticos e obra literária. Terá estado subjacente já nos tempos do jovem pregador no Brasil e depois nos serviços prestados ao rei de Portugal na sua primeira viagem à Europa.",,,,,Portuguese,REVIEW
Journal Article,"Molnar, Paul D.",2003,"Incarnation, Resurrection and the Doctrine of the Trinity: A Comparison of Thomas F. Torrance and Roger Haight",International Journal of Systematic Theology,5,2,147–167,,July,1468-2400,10.1111/1463-1652.00101,,http://onlinelibrary.wiley.com/store/10.1111/1463-1652.00101/asset/1463-1652.00101.pdf?v=1&t=i68ox1lv&s=49f317514fff73e6c4c5e82279496825c523c717,,20th century,Theology -- Trinity|Theology -- Systematic,North America -- USA,"Haight, Roger, 1936–","By comparing the thought of T. F. Torrance and Roger Haight, this article shows that whenever the starting-point for interpreting the resurrection is not Jesus himself as the incarnate Word, then Christology and soteriology are undermined because of a faulty understanding of the Trinity, with the result that salvation is equated with the human religious quest for meaning. Because the incarnation and resurrection are intimately connected, this article suggests that any docetic view of the one will lead to a docetic view of the other. And this has soteriological implications: if Jesus is not seen as the only Savior, then we must somehow save ourselves.",,,,,English,REVIEW
Journal Article,"Mlakuzhyil, George",2003,"Saint Francis Xavier: The Magis Man, Missionary and Mystic",Vidyajyoti: Journal of Theological Reflection,67,4,241–257,,April,0970-1079,,,,,16th century,Saints and Blessed|Biography|Foreign Missions -- History -- Regional,Europe -- Portugal -- Lisbon|Asia -- India,"Francis Xavier, Saint, 1506–1552","This year marks the 450th anniversary of the death of St Francis Xavier in Sancian, a tiny island off the coast of China, where he wanted to go. On this occasion the author presented a study of the patron saint of missions as a human being, a missionary and a spiritual person to the Jesuit community in the Delhi region. It should be of interest to many of our readers. Dr Mlakuzhyil teaches scripture and systematic theology at the Vidyajyoti College.",,,,,English,KEEP
